char1,char2,similarity,code1,code2
乂,乀,0.7836745559850736,20034,20032
乂,叉,0.7826592535984451,20034,21449
乂,仧,0.7816013421470095,20034,20199
乂,乆,0.7783772022749961,20034,20038
乃,乃,1.0,20035,20035
乃,儿,0.8002588554724769,20035,20799
乃,马,0.794858243786934,20035,39532
乃,几,0.7881271622345999,20035,20960
乃,丂,0.7824700960301508,20035,19970
乃,丌,0.7819203983336903,20035,19980
乃,乚,0.7803079390726376,20035,20058
乃,汅,0.776185424039668,20035,27717
乃,八,0.7739064336021731,20035,20843
乃,冫,0.7731656595482865,20035,20907
乄,乄,1.0,20036,20036
乄,丶,0.8218784670494365,20036,20022
乄,丿,0.8204747015897885,20036,20031
乄,丨,0.7896046366753247,20036,20008
乄,一,0.7887087151396078,20036,19968
乄,冫,0.787383948605928,20036,20907
乄,亅,0.7840921759856223,20036,20101
乄,丫,0.7820366468526734,20036,20011
乄,艹,0.777089856579513,20036,33401
乄,卜,0.7752250767523724,20036,21340
久,久,1.0,20037,20037
久,人,0.8091841179864392,20037,20154
久,乆,0.8075687156519672,20037,20038
久,欠,0.7911319770470904,20037,27424
久,巜,0.7909307941697356,20037,24028
久,夊,0.7896972534473803,20037,22794
久,丶,0.7874193383350694,20037,20022
久,夕,0.7867337606302712,20037,22805
久,乁,0.7819657978611064,20037,20033
久,丿,0.7811312731213438,20037,20031
乆,乆,1.0,20038,20038
乆,人,0.840840746933195,20038,20154
乆,久,0.8075687156519672,20038,20037
乆,火,0.8050111750423227,20038,28779
乆,丶,0.79960689080693,20038,20022
